"numCS","numCF","rep","gen","date","ind","CS12","CF12","CS21","CF21","numCS1b","numCS2b","numCF1b","numCF2b","numCS1a","numCS2a","numCF1a","numCF2a","fracDispCS","fracDispCF","totCS","totCF"
0,20,1,1,2017-01-10,1,0,0,0,0,0,0,0,20,0,0,0,20,NA,0,0,20
0,40,1,1,2017-01-10,2,0,-1,0,1,0,0,0,40,0,0,1,39,NA,0.025,0,40
0,80,1,1,2017-01-10,3,0,0,0,0,0,0,0,80,0,0,0,80,NA,0,0,80
20,0,1,1,2017-01-10,4,0,0,0,0,20,0,0,0,20,0,0,0,0,NA,20,0
20,20,1,1,2017-01-10,5,7,0,-7,0,21,0,0,20,14,7,0,20,0.333333333333333,0,21,20
20,40,1,1,2017-01-10,6,0,0,0,0,20,0,0,40,20,0,0,40,0,0,20,40
20,80,1,1,2017-01-10,7,4,-5,-4,5,21,0,0,80,17,4,5,75,0.19047619047619,0.0625,21,80
40,0,1,1,2017-01-10,8,7,0,-7,0,39,0,0,0,32,7,0,0,0.179487179487179,NA,39,0
40,20,1,1,2017-01-10,9,11,-1,-11,1,40,0,0,20,29,11,1,19,0.275,0.05,40,20
40,40,1,1,2017-01-10,10,5,-5,-5,5,41,0,0,41,36,5,5,36,0.121951219512195,0.121951219512195,41,41
40,80,1,1,2017-01-10,11,5,-3,-5,3,40,0,0,79,35,5,3,76,0.125,0.0379746835443038,40,79
80,0,1,1,2017-01-10,12,31,0,-31,0,83,0,0,0,52,31,0,0,0.373493975903614,NA,83,0
80,20,1,1,2017-01-10,13,10,0,-10,0,79,0,0,20,69,10,0,20,0.126582278481013,0,79,20
80,40,1,1,2017-01-10,14,7,-2,-7,2,80,0,0,39,73,7,2,37,0.0875,0.0512820512820513,80,39
80,80,1,1,2017-01-10,15,19,-2,-19,2,79,0,0,82,60,19,2,80,0.240506329113924,0.024390243902439,79,82
0,20,2,1,2017-01-10,16,0,0,0,0,0,0,0,20,0,0,0,20,NA,0,0,20
0,40,2,1,2017-01-10,17,0,0,0,0,0,0,0,40,0,0,0,40,NA,0,0,40
0,80,2,1,2017-01-10,18,0,-1,0,1,0,0,0,80,0,0,1,79,NA,0.0125,0,80
20,0,2,1,2017-01-10,19,3,0,-3,0,20,0,0,0,17,3,0,0,0.15,NA,20,0
20,20,2,1,2017-01-10,20,1,-1,-1,1,21,0,0,20,20,1,1,19,0.0476190476190476,0.05,21,20
20,40,2,1,2017-01-10,21,0,0,0,0,20,0,0,40,20,0,0,40,0,0,20,40
20,80,2,1,2017-01-10,22,1,-6,-1,6,19,0,0,80,18,1,6,74,0.0526315789473684,0.075,19,80
40,0,2,1,2017-01-10,23,6,0,-6,0,38,0,0,0,32,6,0,0,0.157894736842105,NA,38,0
40,20,2,1,2017-01-10,24,1,0,-1,0,38,0,0,20,37,1,0,20,0.0263157894736842,0,38,20
40,40,2,1,2017-01-10,25,3,-8,-3,8,41,0,0,39,38,3,8,31,0.0731707317073171,0.205128205128205,41,39
40,80,2,1,2017-01-10,26,3,-7,-3,7,40,0,0,79,37,3,7,72,0.075,0.0886075949367089,40,79
80,0,2,1,2017-01-10,27,25,0,-25,0,79,0,0,0,54,25,0,0,0.316455696202532,NA,79,0
80,20,2,1,2017-01-10,28,16,-2,-16,2,76,0,0,22,60,16,2,20,0.210526315789474,0.0909090909090909,76,22
