patch1.before,patch2.before,patch1.after,patch2.after,patch1.other.before,patch2.other.before
20,0,20,0,0,0
20,0,10,10,0,20
20,0,20,0,0,40
20,0,20,0,0,80
40,0,30,10,0,0
40,0,30,10,0,20
40,0,40,0,0,40
40,0,40,0,0,80
80,0,50,30,0,0
80,0,70,10,0,20
80,0,70,10,0,40
80,0,60,20,0,80
20,0,20,0,0,0
20,0,20,0,0,20
20,0,20,0,0,40
20,0,20,0,0,80
40,0,30,10,0,0
40,0,40,0,0,20
40,0,40,0,0,40
40,0,40,0,0,80
80,0,60,20,0,20
80,0,70,10,0,80
20,0,20,0,0,0
20,0,10,10,0,20
20,0,20,0,0,40
20,0,20,0,0,80
40,0,20,20,0,0
40,0,30,10,0,20
80,0,60,20,0,0
80,0,60,20,0,20
80,0,60,20,0,40
20,0,10,10,0,0
20,0,10,10,0,20
20,0,20,0,0,40
20,0,20,0,0,80
40,0,40,0,0,0
80,0,50,30,0,0
80,0,60,20,0,80
20,0,10,10,0,0
20,0,20,0,0,20
20,0,20,0,0,40
20,0,20,0,0,80
40,0,20,20,0,0
40,0,20,20,0,20
40,0,30,10,0,80
80,0,40,40,0,0
80,0,70,10,0,20
80,0,70,10,0,40
80,0,60,20,0,80
20,0,10,10,0,0
20,0,10,10,0,20
20,0,10,10,0,40
20,0,20,0,0,80
40,0,30,10,0,20
40,0,40,0,0,40
40,0,30,10,0,80
80,0,40,40,0,0
80,0,50,30,0,20
80,0,50,30,0,40
80,0,80,0,0,80
20,0,10,10,0,0
20,0,20,0,0,20
20,0,10,10,0,40
20,0,20,0,0,80
40,0,20,20,0,0
40,0,30,10,0,20
40,0,40,0,0,40
80,0,60,20,0,20
80,0,60,20,0,40
20,0,10,10,0,20
20,0,20,0,0,40
20,0,10,10,0,80
40,0,20,20,0,0
40,0,30,10,0,20
40,0,40,0,0,40
40,0,20,20,0,80
80,0,70,10,0,0
80,0,50,30,0,20
80,0,60,20,0,40
20,0,10,10,0,0
20,0,10,10,0,40
40,0,30,10,0,0
40,0,40,0,0,40
40,0,40,0,0,80
50,0,30,20,0,0
90,0,70,20,0,20
80,0,70,10,0,40
80,0,60,20,0,80
20,0,20,0,0,0
20,0,0,20,0,20
20,0,20,0,0,40
20,0,10,10,0,80
40,0,40,0,0,0
40,0,30,10,0,20
40,0,30,10,0,40
40,0,30,10,0,80
80,0,50,30,0,0
70,0,60,10,0,50
70,0,50,20,0,0
90,20,80,30,0,40
90,0,40,50,0,70
60,0,40,20,10,110
120,20,120,20,0,230
180,20,130,70,10,40
80,10,50,40,0,0
80,10,70,20,10,180
190,50,140,100,0,0
60,0,30,30,50,30
40,50,40,50,0,0
80,0,40,40,0,0
50,10,40,20,0,0
60,20,50,30,20,130
100,50,100,50,0,80
40,30,40,30,0,0
80,0,60,20,20,130
80,30,70,40,0,0
80,20,70,30,60,130
170,120,150,140,0,0
200,70,200,70,0,100
120,60,100,80,0,0
170,30,140,60,0,0
200,70,180,90,0,80
180,20,150,50,50,250
30,0,20,10,0,210
110,30,70,70,0,0
100,0,70,30,0,60
40,0,30,10,0,120
120,20,100,40,0,60
260,150,220,190,0,100
10,70,10,70,10,300
190,190,220,160,0,0
180,150,150,180,0,0
100,60,70,90,40,170
150,180,160,170,0,0
200,140,200,140,10,140
160,140,160,140,30,70
170,190,210,150,10,70
190,220,200,210,0,0
190,160,160,190,0,0
30,160,30,160,0,0
210,90,200,100,30,250
160,210,170,200,0,0
30,110,70,70,20,180
170,110,170,110,60,190
