"patch1.before","patch2.before","patch1.after","patch2.after"
82,53,74,61
94,40,79,55
78,58,72,64
78,57,71,64
83,56,72,67
81,45,74,52
83,49,72,60
92,46,82,56
93,53,90,56
75,45,68,52
74,48,71,51
81,36,72,45
90,54,82,62
104,48,90,62
70,50,66,54
68,53,67,54
72,60,69,63
78,47,74,51
69,57,73,53
76,49,69,56
88,48,75,61
65,61,63,63
76,38,62,52
82,41,76,47
94,47,87,54
59,43,51,51
73,49,69,53
88,45,81,52
70,64,76,58
68,44,62,50
71,58,64,65
78,54,74,58
69,50,66,53
88,63,79,72
104,52,87,69
88,53,80,61
81,50,73,58
80,54,72,62
76,47,67,56
86,58,70,74
81,50,78,53
92,47,75,64
87,58,76,69
79,46,67,58
92,42,82,52
88,40,75,53
88,48,79,57
77,48,73,52
87,34,74,47
87,46,74,59
65,48,58,55
89,41,68,62
90,48,78,60
80,45,79,46
66,42,60,48
83,52,70,65
78,43,71,50
85,58,80,63
75,48,79,44
82,53,74,61
77,50,65,62
101,52,92,61
82,64,69,77
66,48,65,49
72,49,63,58
75,42,64,53
77,50,64,63
72,44,70,46
90,45,81,54
82,50,78,54
69,48,68,49
71,42,69,44
72,45,73,44
81,52,65,68
65,54,61,58
84,58,77,65
82,38,72,48
85,46,73,58
70,51,67,54
103,60,88,75
63,52,63,52
70,28,61,37
75,43,67,51
71,62,70,63
80,62,78,64
88,41,83,46
68,53,68,53
73,50,68,55
85,51,84,52
67,44,60,51
72,52,68,56
100,49,85,64
83,39,76,46
79,35,65,49
75,58,77,56
74,49,67,56
85,46,70,61
69,51,68,52
73,44,64,53
80,52,71,61
84,51,73,62
74,55,66,63
73,48,72,49
81,53,71,63
98,38,81,55
84,50,75,59
93,48,74,67
75,49,72,52
69,45,70,44
70,47,66,51
86,56,79,63
89,53,77,65
87,47,72,62
66,50,62,54
74,57,68,63
84,56,77,63
79,54,67,66
87,43,72,58
82,49,78,53
78,48,75,51
75,47,70,52
79,42,63,58
84,56,70,70
79,52,61,70
88,40,76,52
85,57,80,62
78,61,72,67
85,41,80,46
80,42,74,48
78,53,74,57
68,51,66,53
77,43,71,49
74,60,67,67
75,43,60,58
83,57,77,63
79,52,76,55
77,55,73,59
80,52,69,63
80,58,83,55
89,53,78,64
76,49,72,53
66,49,59,56
74,48,73,49
69,45,59,55
74,45,64,55
66,53,59,60
62,48,52,58
70,47,68,49
75,49,69,55
80,55,73,62
73,44,65,52
85,57,73,69
84,54,75,63
87,47,78,56
71,60,62,69
73,41,67,47
67,44,62,49
71,48,65,54
78,53,73,58
61,59,64,56
65,55,59,61
58,46,52,52
75,59,77,57
93,44,78,59
74,61,73,62
70,53,65,58
84,82,84,82
68,34,64,38
94,43,73,64
73,48,71,50
75,49,64,60
70,42,70,42
92,56,83,65
83,45,76,52
73,46,68,51
78,53,74,57
99,48,82,65
72,48,67,53
73,52,67,58
78,42,80,40
86,50,76,60
74,53,73,54
67,60,63,64
77,63,72,68
75,59,66,68
78,48,66,60
87,40,74,53
96,55,78,73
78,48,69,57
86,57,82,61
72,49,68,53
77,54,71,60
93,52,81,64
83,60,74,69
81,51,68,64
85,56,79,62
88,50,75,63
73,45,66,52
85,50,74,61
83,49,70,62
67,49,59,57
84,55,73,66
80,64,68,76
73,41,70,44
79,52,72,59
82,44,79,47
79,51,72,58
88,41,78,51
95,53,83,65
82,44,64,62
68,49,67,50
90,52,82,60
88,51,75,64
76,61,64,73
80,56,74,62
89,46,76,59
87,43,75,55
90,43,72,61
79,40,66,53
77,45,69,53
63,51,59,55
78,69,71,76
69,53,69,53
78,63,73,68
77,52,69,60
94,54,86,62
96,48,84,60
93,38,77,54
64,48,62,50
76,47,68,55
84,36,73,47
78,44,65,57
91,49,83,57
63,58,59,62
92,57,77,72
61,55,55,61
82,56,80,58
84,36,70,50
