"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,81,54,66,17
94,40,84,50,66,14
78,58,74,62,82,24
78,57,74,61,65,19
83,56,84,55,69,22
81,45,77,49,69,19
83,49,80,52,63,21
92,46,89,49,63,20
93,53,94,52,56,19
75,45,70,50,57,18
74,48,75,47,58,23
81,36,74,43,76,16
90,54,82,62,76,22
104,48,105,47,65,20
70,50,66,54,73,22
68,53,65,56,82,17
72,60,72,60,79,20
78,47,78,47,82,13
69,57,67,59,68,23
76,49,76,49,65,11
88,48,86,50,72,21
65,61,64,62,72,16
76,38,72,42,67,23
82,41,80,43,73,20
94,47,92,49,68,22
59,43,55,47,78,21
73,49,70,52,52,16
88,45,86,47,68,30
70,64,70,64,78,17
68,44,67,45,69,26
71,58,69,60,70,19
78,54,78,54,65,21
69,50,67,52,61,22
88,63,87,64,65,14
104,52,100,56,55,16
88,53,82,59,61,28
81,50,82,49,76,23
80,54,80,54,72,15
76,47,72,51,65,20
86,58,82,62,61,24
81,50,79,52,60,12
92,47,89,50,78,19
87,58,83,62,67,15
79,46,79,46,72,16
92,42,86,48,56,21
88,40,82,46,77,21
88,48,86,50,84,22
77,48,75,50,91,21
87,34,83,38,76,19
87,46,83,50,63,17
65,48,65,48,54,17
89,41,85,45,73,16
90,48,89,49,91,14
80,45,83,42,78,22
66,42,64,44,64,16
83,52,79,56,72,22
78,43,75,46,66,14
85,58,78,65,64,22
75,48,77,46,64,16
82,53,81,54,82,23
77,50,74,53,71,20
101,52,97,56,79,18
82,64,81,65,74,25
66,48,63,51,67,24
72,49,71,50,76,23
75,42,69,48,58,23
77,50,74,53,68,16
72,44,70,46,79,19
90,45,88,47,80,28
82,50,81,51,72,21
69,48,67,50,67,23
71,42,67,46,88,20
72,45,72,45,66,25
81,52,82,51,74,22
65,54,66,53,69,23
84,58,82,60,73,16
82,38,79,41,79,17
85,46,85,46,78,25
70,51,68,53,77,17
103,60,101,62,75,26
63,52,61,54,72,16
70,28,68,30,78,20
75,43,70,48,65,22
71,62,71,62,79,19
80,62,82,60,69,21
88,41,86,43,90,31
68,53,65,56,74,16
73,50,66,57,69,19
85,51,83,53,73,16
67,44,64,47,69,14
72,52,70,54,77,23
100,49,97,52,70,18
83,39,84,38,79,24
79,35,76,38,72,25
75,58,78,55,59,11
74,49,70,53,66,18
85,46,80,51,62,15
69,51,68,52,63,20
73,44,69,48,70,21
80,52,77,55,70,24
84,51,82,53,71,19
74,55,71,58,84,19
73,48,70,51,53,26
81,53,79,55,61,26
98,38,92,44,62,12
84,50,82,52,65,19
93,48,88,53,62,9
75,49,73,51,65,17
69,45,67,47,77,29
70,47,67,50,83,24
86,56,88,54,55,23
89,53,86,56,57,20
87,47,81,53,84,20
66,50,68,48,58,17
74,57,71,60,59,20
84,56,83,57,61,20
79,54,76,57,63,18
87,43,83,47,79,15
82,49,77,54,81,22
78,48,73,53,65,24
75,47,76,46,71,16
79,42,74,47,57,20
84,56,85,55,61,23
79,52,77,54,74,13
88,40,84,44,69,21
85,57,84,58,71,23
78,61,77,62,56,18
85,41,83,43,54,30
80,42,76,46,73,12
78,53,74,57,74,16
68,51,67,52,73,26
77,43,75,45,65,14
74,60,72,62,74,28
75,43,75,43,52,25
83,57,81,59,59,22
79,52,75,56,70,17
77,55,78,54,71,18
80,52,77,55,78,24
80,58,81,57,76,28
89,53,87,55,65,22
76,49,76,49,70,17
66,49,66,49,66,15
74,48,73,49,78,20
69,45,67,47,80,22
74,45,71,48,75,25
66,53,67,52,76,22
62,48,60,50,73,21
70,47,67,50,63,17
75,49,74,50,73,32
80,55,76,59,75,23
73,44,68,49,91,28
85,57,81,61,84,28
84,54,82,56,77,21
87,47,79,55,50,23
71,60,67,64,64,21
73,41,68,46,68,19
67,44,66,45,68,17
71,48,68,51,82,22
78,53,74,57,73,25
61,59,61,59,67,22
65,55,64,56,61,18
58,46,58,46,65,19
75,59,74,60,64,22
93,44,90,47,70,18
74,61,75,60,69,19
70,53,68,55,66,22
84,82,83,83,57,19
68,34,66,36,72,18
94,43,88,49,61,14
73,48,71,50,74,19
75,49,76,48,66,19
70,42,72,40,64,9
92,56,91,57,68,30
83,45,81,47,68,25
73,46,70,49,68,18
78,53,74,57,75,16
99,48,97,50,63,21
72,48,72,48,76,22
73,52,70,55,62,17
78,42,74,46,65,25
86,50,85,51,61,15
74,53,72,55,90,19
67,60,66,61,61,18
77,63,77,63,64,19
75,59,76,58,79,16
78,48,75,51,76,18
87,40,85,42,57,23
96,55,90,61,66,25
78,48,77,49,69,22
86,57,85,58,56,21
72,49,73,48,65,26
77,54,75,56,66,14
93,52,92,53,78,15
83,60,83,60,71,25
81,51,80,52,66,16
85,56,83,58,72,32
88,50,83,55,65,21
73,45,68,50,76,20
85,50,84,51,59,19
83,49,79,53,69,28
67,49,68,48,73,16
84,55,82,57,79,27
80,64,78,66,63,25
73,41,70,44,70,29
79,52,77,54,59,24
82,44,80,46,68,22
79,51,78,52,80,18
88,41,81,48,88,17
95,53,94,54,83,21
82,44,74,52,84,21
68,49,70,47,63,22
90,52,86,56,68,18
88,51,87,52,68,23
76,61,74,63,76,14
80,56,77,59,77,32
89,46,87,48,86,26
87,43,82,48,76,18
90,43,87,46,66,17
79,40,75,44,80,18
77,45,76,46,78,22
63,51,62,52,76,23
78,69,79,68,66,21
69,53,71,51,73,21
78,63,77,64,83,17
77,52,72,57,71,20
94,54,92,56,74,17
96,48,93,51,74,16
93,38,86,45,75,20
64,48,58,54,61,18
76,47,75,48,77,25
84,36,82,38,61,19
78,44,73,49,74,23
91,49,88,52,67,17
63,58,61,60,77,16
92,57,91,58,64,20
61,55,63,53,74,15
82,56,77,61,67,21
84,36,76,44,58,18
